id,title,authors,year,search_string,v1_decision,v1_reason
1,Beyond Retrieval: A Study of Using LLM Ensembles for Candidate Filtering in Requirements Traceability,D. Fuchß; S. Schwedt; J. Keim; T. Hey,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
2,Requirements Classification for Traceability Link Recovery,T. Hey; J. Keim; S. Corallo,2024,String A,INCLUDE,Đáp ứng IC1 đến IC5
3,Enhancing Requirement-to-Code Traceability via Chain-of-Thought Prompting in Large Language Models,W. Wang; Y. Wang; L. Zhao; Q. Huang; B. Jiang,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
4,LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation,D. Fuchß; T. Hey; J. Keim; H. Liu; N. Ewald; T. Thirolf; A. Koziolek,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
5,Prompts Matter: Insights and Strategies for Prompt Engineering in Automated Software Traceability,A. D. Rodriguez; K. R. Dearstyne; J. Cleland-Huang,2023,String A & String C & String D,INCLUDE,Đáp ứng IC1 đến IC5
6,Enabling Architecture Traceability by LLM-based Architecture Component Name Extraction,D. Fuchß; H. Liu; T. Hey; J. Keim; A. Koziolek,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
7,Establishing Traceability Between Release Notes & Software Artifacts: Practitioners' Perspectives,S. S. Nath; B. Roy; M. Jahan,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
8,Single-pass Hierarchical Text Classification with Large Language Models,F. Schmidt; K. Hammerfald; H. H. Jahren; A. H. Payberah; V. Vlassov,2024,String B,EXCLUDE,"EC4: Không liên quan traceability link recovery — chỉ về hierarchical text classification tổng quát, không đề cập liên kết requirement/code"
9,A Method for Constructing Traditional Chinese Medicine Knowledge Graphs via LoRa Fine-Tuning and Prompt Engineering,K. Qin; Z. Dong; J. Xiong; J. Liang,2025,String C,EXCLUDE,"EC4: Ngoài phạm vi SE traceability — về xây dựng knowledge graph Y học cổ truyền Trung Quốc (TCM), không liên quan traceability link recovery"
10,On the Effectiveness of Zero-Shot and Few-Shot Pretrained Language Models for Software Requirement Classification,M. Shafikuzzaman; M. R. Islam; S. Zaman; A. Ma; A. Islam Sifat,2025,String C,EXCLUDE,"EC4: Chỉ về phân loại yêu cầu (functional/non-functional), không thực hiện traceability link recovery"
11,Vision-Language RAG for Post-AOI PCB Inspection,M. S. Byun; M. Yoke Hean Low; D. W. Lin; C. Chung Hong; Y. C. Tan; D. Pang Ngin Ong,2025,String C,EXCLUDE,"EC4: Ngoài phạm vi SE traceability — về kiểm tra lỗi PCB (phần cứng), không liên quan traceability link"
12,A Systematic LLM-Assisted Approach for Deriving Skills From Competencies: A Case in Business Process Management Education,G. R. Rockembach; M. E. S. Sánchez; L. H. Thom,2026,String C,EXCLUDE,"EC4: Ngoài phạm vi — về suy diễn kỹ năng (skills) từ competency trong giáo dục BPM, không liên quan traceability"
13,Evaluating LLMs for Automated Requirement and Test Case Generation in Railway Signaling Systems,I. -G. Oțelea; B. Pintea; R. V. Rughiniș; V. Tîrșu,2025,String C,EXCLUDE,"EC4: Về sinh yêu cầu/test case cho hệ thống tín hiệu đường sắt, không thực hiện traceability link recovery"
14,"A Comparative Evaluation of RAG Architectures for Cross-Domain LLM Applications: Design, Implementation, and Assessment",P. Ersoy; M. Erşahın,2025,String D,EXCLUDE,"EC4: Đánh giá kiến trúc RAG tổng quát cho tài chính/thương mại điện tử, không liên quan traceability link recovery trong SE"
15,HGTRTracer: Advancing Requirements-Code Traceability with LLM-Augmented Attribution Reasoning and Heterogeneous Graph Transformer,H. Jin; Y. Yuan; B. Wang; H. Wan; Z. Zou,2025,String E,INCLUDE,"Đáp ứng IC1 đến IC5 — LLM + GNN trực tiếp cho requirement-to-code TLR, F1-score định lượng, cải thiện 12.90% so với SOTA"
